file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,328,439,352,440
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,241,398,185,383
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,276,464,195,428
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,384,474,275,420
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,470,515,209,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,338,445,223,392
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,389,451,224,371
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,381,477,185,411
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,242,392,288,409
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,434,498,245,426
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,380,783,360,775
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,678,934,397,783
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,505,851,458,834
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,511,841,364,775
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,592,920,384,838
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,503,854,420,803
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,451,851,328,803
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,469,839,414,813
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,494,828,362,783
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,598,903,383,792
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,908,1340,593,1219
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,729,1240,599,1192
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,985,1378,532,1171
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,646,1209,556,1183
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,671,1282,510,1212
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,600,1180,777,1293
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,648,1176,580,1181
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,749,1344,533,1235
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,614,1202,508,1149
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,679,1210,629,1162
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,1035,1692,684,1534
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,805,1656,664,1582
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,834,1637,893,1647
