file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,233,299,234,377
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,172,272,117,239
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,216,357,195,278
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,257,365,217,333
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,236,327,205,323
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,196,288,126,299
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,336,454,129,270
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,395,415,162,339
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,295,402,158,264
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,293,395,168,277
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,370,578,379,676
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,326,535,209,413
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,425,636,380,641
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,343,569,381,641
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,350,570,260,559
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,425,676,301,514
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,354,555,299,514
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,460,743,332,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,380,597,424,585
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,499,762,307,642
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,662,950,408,936
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,737,1026,321,688
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,469,879,433,862
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,413,781,403,737
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,744,1067,332,707
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,430,788,478,891
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,546,844,414,902
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,539,868,426,908
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,876,1194,461,862
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,632,984,472,890
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,560,936,535,1092
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,559,1080,534,1026
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,555,1044,563,1205
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_3.json,400,558,1106,497,1049
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,400,736,1061,559,1098
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_5.json,400,630,1093,523,1096
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_6.json,400,655,1101,681,1201
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,400,623,1057,567,1096
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_8.json,400,782,1181,547,1074
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,400,617,1077,802,1359
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_0.json,500,746,1258,695,1492
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_1.json,500,965,1445,657,1342
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,500,759,1507,709,1352
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_3.json,500,850,1354,725,1404
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_4.json,500,944,1418,618,1165
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_5.json,500,912,1342,748,1458
