file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,600,1108,1903,974,73,73,748,66,752
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_2.json,600,892,1697,1296,212,212,1152,365,1389
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_3.json,600,888,1614,831,300,300,1185,86,763
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,600,891,1599,1007,266,266,1255,352,1490
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_5.json,600,890,1655,792,256,256,1092,310,1310
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,600,812,1587,772,250,250,1131,207,1078
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_7.json,600,1057,1721,941,371,371,1363,262,1178
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_8.json,600,864,1628,861,274,274,1118,486,1462
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_9.json,600,949,1565,1015,320,320,1214,266,1122
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,700,1018,1782,1124,177,177,1212,383,1543
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,700,1071,1990,1035,206,206,1192,173,1466
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_2.json,700,993,1799,1098,406,406,1497,271,1350
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_3.json,700,968,1810,880,165,165,1140,309,1352
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_4.json,700,974,1739,749,371,371,1472,404,1630
