file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_0.json,600,1755,1795,1519,1843,732,1322,732,1322
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,600,1358,1586,1726,1853,752,1413,752,1413
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_2.json,600,1771,1933,1373,1512,638,1470,638,1470
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_3.json,600,1562,1911,1150,1657,149,949,149,949
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,600,1222,1544,1161,1572,620,1299,620,1299
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_5.json,600,1721,1786,1527,1783,868,1527,868,1527
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,600,1639,2042,1256,1625,667,1511,667,1511
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_7.json,600,1953,1973,1158,1550,776,1515,776,1515
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_8.json,600,1514,1728,1824,1982,496,1422,496,1422
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_9.json,600,1386,1531,1735,1714,180,896,180,896
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,700,1751,2005,1714,1910,140,1072,140,1072
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,700,1740,2194,1737,2020,827,1456,827,1456
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_2.json,700,1539,1748,1379,1930,375,1292,375,1292
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_3.json,700,1815,1923,2072,2141,595,1763,595,1763
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_4.json,700,1891,1952,1366,1825,722,1411,722,1411
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,700,1539,1729,2109,2210,691,1682,691,1682
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_6.json,700,1550,1787,1533,1866,588,1470,588,1470
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_7.json,700,2189,2257,1668,2148,143,1063,143,1063
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_8.json,700,1739,1976,1652,1881,727,1492,727,1492
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_9.json,700,1547,1824,1493,1905,837,1806,837,1806
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_0.json,800,1900,2172,2070,2307,1095,1971,1095,1971
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,800,1947,2368,1513,1977,804,1812,804,1812
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_2.json,800,1833,2003,1606,2289,104,1206,104,1206
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_3.json,800,2179,2516,1870,2279,814,1902,814,1902
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_4.json,800,1936,2362,1928,2315,638,1913,638,1913
