file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,1265,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,1174,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,1255,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,2805,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,2867,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,2760,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,313,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,294,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,306,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,2475,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,2496,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,2256,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,2102,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,2064,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,2057,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,3251,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,3378,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,3380,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,3199,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,3226,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,3007,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,2962,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,2555,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,2718,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,2690,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,2603,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,2615,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_4.json,2351,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_4.json,2563,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_4.json,2548,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,796,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,775,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,878,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,2624,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,2732,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,2635,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,2476,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,2722,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,2587,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,1165,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,1099,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,1061,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,400,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,393,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,353,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,737,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,913,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,772,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,608,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,651,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,611,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,2529,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,2773,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,2792,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,648,hybrid
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,720,default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,682,no-rar
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_3.json,1607,hybrid
