file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,6596,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,7014,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,6557,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,1863,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,1950,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,1870,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2131,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2339,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2115,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3368,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3474,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3309,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,7721,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,6648,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,6971,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,7350,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,7984,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,7384,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,8131,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,7792,default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,7427,no-rar
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,4471,hybrid
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,4148,default
