file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_9.json,9855,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_9.json,9022,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_2.json,9801,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_2.json,10148,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_2.json,9588,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_5.json,16834,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_5.json,16184,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_5.json,16830,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_2.json,19116,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_2.json,19708,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_2.json,18921,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_8.json,4673,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_8.json,4698,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_8.json,4521,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_9.json,14416,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_9.json,14616,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_9.json,14369,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_8.json,2199,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_8.json,2198,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_8.json,2172,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_5.json,18810,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_5.json,18780,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_5.json,18038,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_4.json,2250,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_4.json,2287,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_4.json,2223,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_2.json,4689,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_2.json,4848,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_2.json,4924,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_3.json,2246,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_3.json,2293,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_3.json,2365,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_1.json,18893,hybrid
