file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,333,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,348,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,316,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,267,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,264,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,244,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,537,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,545,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,516,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,570,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,568,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,551,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,109,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,128,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,109,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,226,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,238,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,233,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,648,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,660,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,624,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_0.json,1020,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_0.json,1004,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_0.json,996,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_2.json,1000,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_2.json,1038,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_2.json,990,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,392,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,416,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,411,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,609,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,638,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,628,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,260,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,292,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,287,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_5.json,1004,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_5.json,1085,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_5.json,1175,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,460,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,470,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,466,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,747,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,794,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,829,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_8.json,862,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_8.json,875,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_8.json,848,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,883,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,905,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,950,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,629,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,639,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,627,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,356,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,366,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,352,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,802,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,824,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,761,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,229,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,232,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,224,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_7.json,901,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_7.json,971,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_7.json,956,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,366,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,368,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,383,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,744,hybrid
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,847,default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,774,no-rar
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_3.json,863,hybrid
