file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,700,6006,4959,6383,4951,2280,3467,2722,3636
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,700,5988,4722,5657,4501,2679,3717,2895,3690
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_4.json,700,5542,4502,5398,4705,2525,3678,2058,3111
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_5.json,700,6780,5228,5944,4669,1706,2847,2983,3995
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,700,5291,4103,timeout,timeout,2736,3863,2433,3309
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,700,6145,4839,5374,4556,2044,3170,2701,3985
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,700,5710,4306,5843,4590,2641,3557,2535,3553
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,700,5941,4552,5975,4925,2143,3589,2246,3153
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,800,4617,4359,7328,5740,3330,4090,2644,3980
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,800,6678,5260,6998,5162,3226,4371,3058,4312
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,800,5521,4936,6121,5072,3405,4442,2455,3848
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,800,5200,4749,5420,5020,2546,3533,3081,4250
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,800,6608,4938,6796,5487,2919,4240,2571,3851
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,800,6246,5388,7113,5592,2719,4080,3011,4054
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,800,6723,5539,4995,4688,2280,3753,2781,4135
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,800,7061,5563,6323,5216,1947,3214,3215,4040
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,800,7596,5499,6362,5260,3416,4725,3167,4236
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,800,6317,4780,7268,5862,2063,3692,2574,3791
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,900,6136,5024,6950,5732,3769,4940,2589,3924
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_1.json,900,5703,5322,6095,5422,2292,3844,2850,4363
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,900,5558,5039,7200,5938,2265,3653,2160,3684
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,900,6845,5698,5844,5316,3251,4847,3105,4370
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_4.json,900,5887,5242,7434,6081,3111,4857,3049,4517
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,900,7966,6655,8348,6575,2840,4474,2464,3949
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,900,7517,6252,7196,6410,3095,4628,2167,3838
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,900,5202,5056,7945,6473,2942,4789,2420,3915
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,900,7403,6063,7159,6196,2637,4320,2410,3885
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_9.json,900,5375,4780,7487,5941,2847,4181,2772,4308
