file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,2040,1033,700,672,1191,1086,209,570
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,2343,1119,428,543,1439,1268,305,470
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,1873,1051,808,736,1069,946,346,511
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,2007,1099,844,578,1017,944,257,534
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,2854,1659,636,674,1504,1400,317,716
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,3438,1698,790,728,965,1190,389,729
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,3320,1835,1121,957,1402,1440,288,687
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,2335,1342,737,848,1320,1338,398,724
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,300,2725,1508,1279,1101,1525,1437,97,605
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,300,2806,1603,1050,1057,1646,1623,262,603
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,2396,1407,810,919,1549,1428,303,853
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,300,2716,1480,727,726,1629,1602,404,622
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,2355,1405,946,837,1692,1579,319,565
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,2473,1473,230,608,1232,1194,223,558
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,3881,2150,1055,1078,1806,1887,356,979
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,400,3271,1980,882,849,2176,1998,213,759
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,3525,1953,1300,1423,1641,1526,241,815
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,3376,1981,556,864,1833,2037,276,824
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,2986,2053,1435,1344,1823,1850,471,888
