file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,3917,1245,3608,1074,2304,868,2304,868
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,3803,1150,3447,1024,2529,984,2529,984
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,3769,1208,3408,1037,2242,888,2242,888
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,3373,1114,4013,1255,2336,933,2336,933
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,5050,1584,4467,1395,3292,1324,3292,1324
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,5976,1831,4614,1368,3023,1221,3023,1221
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,5245,1725,5861,1703,3399,1339,3399,1339
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,4495,1434,5365,1633,3205,1310,3205,1310
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,300,5176,1646,5713,1823,3134,1282,3134,1282
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,300,4977,1568,5727,1771,3314,1298,3314,1298
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,4988,1644,5317,1588,3372,1368,3372,1368
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,300,4811,1518,5658,1744,3183,1281,3183,1281
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,4830,1593,4945,1547,3349,1408,3349,1408
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,5354,1682,5476,1697,3452,1362,3452,1362
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,7061,2166,6169,2023,4127,1696,4127,1696
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,400,5863,1860,7038,2257,3717,1504,3717,1504
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,6269,2057,5901,1888,4153,1678,4153,1678
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,6240,1984,6180,1916,4386,1748,4386,1748
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,5529,1897,6925,2132,3937,1618,3937,1618
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,400,5904,1882,6900,2226,4227,1666,4227,1666
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,400,7042,2143,6180,1947,4353,1770,4353,1770
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,400,6374,2117,6459,2149,4308,1672,4308,1672
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,400,6096,2007,6562,2076,3812,1564,3812,1564
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,400,6473,2081,6648,2178,4559,1786,4559,1786
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,500,7757,2472,8529,2607,5115,2093,5115,2093
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,500,8324,2685,8068,2503,5072,2033,5072,2033
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,500,8804,2754,7759,2402,4970,1997,4970,1997
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,500,9070,2838,8827,2673,5167,2042,5167,2042
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,500,8006,2607,7795,2404,5071,2029,5071,2029
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,500,7899,2627,8419,2687,4748,1954,4748,1954
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_6.json,500,8320,2578,8816,2726,5438,2170,5438,2170
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,500,6919,2313,8456,2659,4679,2041,4679,2041
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,500,7800,2550,8075,2476,4654,1958,4654,1958
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_9.json,500,8678,2766,8919,2804,5171,2131,5171,2131
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_0.json,600,9337,3012,8954,2740,6387,2563,6387,2563
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,600,7640,2567,10160,3062,6434,2619,6434,2619
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,600,9640,2958,9096,2894,6050,2494,6050,2494
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_3.json,600,9446,2923,9249,2831,5397,2221,5397,2221
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,600,9159,2966,9883,3214,6090,2508,6090,2508
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,600,8646,2896,9715,3068,6675,2673,6675,2673
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,600,9024,2876,8320,2638,5411,2239,5411,2239
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,600,9007,2699,10125,3133,6318,2700,6318,2700
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,600,9591,2938,9818,3166,5235,2276,5235,2276
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,600,9506,3085,7509,2751,6247,2555,6247,2555
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,700,11662,3706,10641,3347,7250,3043,7250,3043
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_1.json,700,10377,3364,10186,3294,7775,3160,7775,3160
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,700,11372,3601,10033,3194,7675,3149,7675,3149
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,700,11906,3607,10563,3385,6730,2726,6730,2726
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_4.json,700,12017,3792,10385,3298,6949,2917,6949,2917
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_5.json,700,11524,3632,10405,3396,7135,2944,7135,2944
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,700,11587,3598,11399,3661,6716,2763,6716,2763
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,700,11748,3683,10065,3273,6438,2673,6438,2673
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,700,11386,3587,11468,3563,7632,3015,7632,3015
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,700,10615,3239,10294,3390,6881,2810,6881,2810
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,800,13246,4122,13250,3972,7082,2842,7082,2842
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,800,11896,3925,11319,3532,7640,3189,7640,3189
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,800,13086,4120,13415,4341,8037,3418,8037,3418
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,800,12422,4096,14308,4325,8270,3244,8270,3244
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,800,13041,4137,12110,3798,7908,3293,7908,3293
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,800,12685,4136,11486,3690,7845,3338,7845,3338
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,800,12244,3843,11297,3601,6270,2731,6270,2731
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,800,11983,3932,12425,3874,8065,3261,8065,3261
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,800,11274,3556,13307,4110,6928,3057,6928,3057
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,800,12620,4155,13045,4187,8410,3361,8410,3361
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,900,15036,4788,13648,4415,8529,3542,8529,3542
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_1.json,900,15795,4981,14211,4465,8300,3608,8300,3608
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,900,12087,3892,13830,4203,9242,3853,9242,3853
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,900,15013,4599,14676,4677,8995,3538,8995,3538
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_4.json,900,12182,4031,15034,4635,8893,3708,8893,3708
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,900,13067,4145,12386,3936,9022,3630,9022,3630
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,900,14602,4623,15008,4547,8700,3745,8700,3745
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,900,11681,3776,12671,4097,8843,3698,8843,3698
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,900,14588,4591,13940,4251,9175,3732,9175,3732
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_9.json,900,15855,4988,11896,3777,8529,3623,8529,3623
