file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,1759,967,1921,983,969,818,1045,760
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,2487,1223,1982,1077,1059,674,1118,700
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,2255,1114,2081,1166,1104,837,1007,749
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,2434,1235,2099,1043,1166,792,907,683
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,1938,1018,2159,1114,1128,857,993,854
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,2280,1175,2139,1036,1067,808,996,754
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,1889,939,1597,951,909,742,967,708
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,2592,1290,1498,783,1179,831,908,837
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,2098,1083,1885,1017,1125,845,864,661
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,1819,1003,1839,940,765,629,817,707
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,3762,2129,3339,1774,1798,1376,1798,1426
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,3347,1935,3856,2074,1875,1433,1645,1399
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,3757,2065,4043,2203,2094,1436,1541,1236
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,4187,2096,3796,1966,1985,1476,1836,1453
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,3102,1790,3148,1912,2100,1724,1621,1245
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,4243,2121,4139,2119,1837,1597,1758,1366
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,3407,1940,3696,2101,1851,1505,1712,1408
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,3960,1981,3897,2184,2002,1523,1762,1398
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,4105,2135,3678,2069,1850,1502,1969,1433
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,3128,1851,3807,1950,1717,1511,1423,1167
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,4729,2591,4660,2624,2278,1945,1924,1664
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,5781,3288,5709,3086,2490,2022,2229,1874
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,5466,3200,4670,2827,2125,1838,1831,1738
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,6014,3353,4327,2568,2522,2029,2095,1784
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,4910,2749,4235,2539,1947,1940,2713,2095
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,4873,2623,5237,2968,2115,2023,2354,2070
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,timeout,timeout,4788,2617,2417,1990,2553,2250
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,5135,2925,4815,2904,2061,1816,2085,1848
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,4867,2720,6003,3209,2261,1936,2649,2095
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,4952,2970,4288,2578,2449,2231,2750,2058
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,6443,3706,6195,3397,3156,2668,2681,2325
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,6216,3539,6678,3825,2840,2448,3044,2740
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,7295,3988,5831,3474,2456,2338,2866,2505
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,6535,3889,6204,3497,2697,2281,2498,2128
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,6544,3584,5695,3631,3048,2599,2386,2312
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,6034,3612,6520,3840,2954,2483,3035,2611
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,5836,3364,5533,3365,2365,2158,2491,2216
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,7696,4367,6320,3599,3087,2785,2156,2056
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,7555,4285,5717,3435,3135,2748,3194,2578
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,timeout,timeout,6481,3766,2939,2365,2697,2332
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,8616,4783,7945,4740,3372,3042,2793,2525
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,7582,4280,6886,4117,3204,2995,2723,2684
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,6751,3946,7239,4134,3071,2767,3628,2941
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,8921,4947,7617,4436,4047,3311,3585,3228
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,8154,4576,8100,4346,3343,2965,3949,3353
