file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,14178,4186,15031,4119
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,14595,4250,13637,3826
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_9.json,600,13844,3840,13200,3680
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,17366,4799,15926,4335
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,700,17386,4947,16360,4494
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,17535,4888,16136,4380
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_3.json,700,15192,4278,15692,4333
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,16876,4723,16891,4601
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,16979,4754,17142,4836
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,17403,5025,16291,4369
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,15693,4478,17032,4723
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,16083,4531,15648,4380
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,700,17197,4852,16418,4616
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,18919,5237,19547,5405
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,800,20242,5790,20198,5529
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,18846,5252,18726,5152
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_3.json,800,20105,5703,17513,4662
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,19467,5398,22170,6175
