file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3834,1825,721,1020,469,915,616,406,320
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,7668,3416,1448,1872,877,1548,1096,780,692
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,26839,8044,3956,6984,3750,3681,3009,2334,2161
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,7668,2683,1221,2178,983,1613,1192,937,716
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,19170,6529,2980,5165,2619,3503,2486,1999,1780
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,34506,11295,5375,9188,4664,5361,4226,3222,3092
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,30672,10396,4927,7882,4068,4752,3605,3242,2797
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,15336,5675,2371,3722,1954,2244,1709,1721,1389
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,700,26839,8706,4069,6850,3460,5185,3984,2605,2167
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_3.json,900,34506,11487,5510,9184,4907,4960,3920,3840,3435
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,3834,1823,685,1023,468,1021,602,503,378
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,800,30672,10884,5108,8278,4227,5832,4407,3706,3081
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_6.json,600,23004,7553,3492,5910,2877,3749,3171,2222,1987
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_1.json,600,23004,7585,3607,6388,3254,3530,2862,2658,2249
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_4.json,900,34506,12773,6159,9025,4736,5385,4599,3872,3491
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_3.json,700,26839,8746,4288,6720,3456,3509,2757,3116,2497
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,11502,4669,1957,2826,1390,2249,1619,1106,909
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,15336,5165,2401,4133,1957,2809,2030,1810,1320
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,3834,2006,848,1043,489,906,587,485,338
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_3.json,800,30672,9949,4792,8221,4332,4859,3964,3219,2771
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,11502,4263,1795,3064,1536,2170,1662,1315,1171
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,3834,1773,722,1088,523,1151,724,461,323
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,7668,3596,1464,2002,972,1691,1055,719,718
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,3834,1873,719,882,430,759,498,448,357
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,11502,4196,1910,3340,1617,2353,1690,1290,983
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,11502,3982,1818,2851,1439,2367,1718,1196,1148
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,7668,3500,1406,2107,1004,1676,1077,764,623
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,700,26839,9089,4275,6995,3645,4646,3270,2387,2169
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,15336,5248,2506,3796,1875,2236,1886,1585,1475
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_8.json,900,34506,9687,4968,9147,4947,5174,4010,3750,3296
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_6.json,800,30672,8970,4572,8059,4117,4254,3319,3261,2849
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,7668,3192,1365,1856,955,1579,1082,944,725
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_9.json,900,34506,10803,5149,9325,4767,6119,4728,3831,3225
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,3834,1999,735,1004,464,934,555,411,354
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,15336,5024,2422,3927,2051,2307,1780,1742,1390
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,600,23004,8314,3816,6385,3187,4345,3081,2284,1963
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,7668,2588,1163,1890,847,1399,990,861,646
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,19170,6693,3127,5042,2479,3167,2368,1918,1756
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_9.json,600,23004,7633,3530,6211,3116,3028,2486,2300,2062
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_5.json,600,23004,7454,3455,6577,3453,4063,3297,2222,1993
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_6.json,500,19170,6370,2826,5184,2409,3162,2400,2096,1777
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,7668,3026,1409,2129,1034,1660,1154,787,615
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,11502,4274,2073,3171,1491,2606,1777,1208,1016
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,11502,3857,1794,2931,1530,2196,1669,1187,974
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,7668,2785,1280,2477,1161,1317,986,768,669
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,800,30672,10116,5080,7782,4025,5021,3744,2896,2789
