file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,7106,3225,5332,2535,3545,2397,2027,1678
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,7723,3405,5563,2773,3310,2495,1963,1708
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,6615,3001,5036,2589,3490,2366,2073,1660
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,8743,4250,6373,3250,4010,2807,2333,2003
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_1.json,600,9548,4205,6391,2858,4148,2857,2636,2092
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,600,8131,3848,6451,3119,3961,2807,2392,2140
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,8569,3998,6491,3075,4326,3092,2008,1892
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,8476,3768,6545,3346,3357,2511,2681,2105
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_5.json,600,9095,4082,6411,3272,3532,2548,2143,1796
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_6.json,600,7853,3550,6352,3073,3352,2770,2227,1942
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,10006,4539,6398,3035,4156,2821,2562,1995
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,8930,4124,6576,3304,3529,2648,2123,1978
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_9.json,600,7550,3345,6316,3236,4653,3146,2496,2145
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,10098,4345,7702,3790,4488,3329,2445,2155
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,700,9216,4483,7217,3550,4193,3013,2488,2160
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,9613,4343,7296,3595,4918,3436,2940,2395
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_3.json,700,9423,4397,7862,3742,3907,2945,2856,2379
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,9641,4640,7931,3759,3374,2477,3155,2309
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,7893,4006,7215,3560,3710,2614,2835,2481
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,9415,4370,6986,3770,3322,2511,2634,2257
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,9860,4443,8021,3674,4037,3155,3015,2486
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,9350,4370,7849,4043,3952,2925,2675,2225
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,700,9845,4553,7794,3678,3655,2752,2772,2199
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,10509,5327,8434,4241,4383,3572,3025,2601
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,800,10489,4929,9432,4605,4919,3541,3204,2678
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,11148,5193,8603,4245,5556,4065,3372,2688
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_3.json,800,10793,5385,9198,4426,4657,3613,3216,2699
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,10588,4842,8857,4370,5100,3990,3258,2706
