file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,1970,896,1909,895
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,2320,943,3048,1150
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,2070,875,2589,1010
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,2418,967,3510,1193
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,2268,858,2656,1032
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,2142,920,2848,1081
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,2298,945,2635,1067
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,2283,971,2651,1022
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,2479,1028,2467,1053
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,1899,895,2392,1021
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,3458,1667,3642,1731
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,4442,1805,4156,1782
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,3709,1778,3477,1692
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,3731,1690,4929,2062
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,3609,1751,3806,1783
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,4180,1856,3469,1624
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,3564,1751,5521,2156
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,3693,1765,5238,2054
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,4269,1848,3730,1688
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,4093,1804,4089,1794
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,4987,2595,7003,2945
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,4649,2466,6872,2984
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,5067,2502,6785,2911
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,5498,2612,5621,2648
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,5358,2640,6472,2871
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,5700,2655,6305,2792
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,4546,2380,8681,3331
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,5359,2651,5376,2696
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,5233,2641,7152,3111
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,4986,2504,5331,2510
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,6754,3329,8744,3679
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,6670,3344,7592,3524
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,6429,3309,8742,3834
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,6751,3470,9869,4048
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,6634,3324,11337,4324
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,7555,3445,8085,3696
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,6333,3288,7626,3560
