cycle,index,Qlosure,qmap,sabre,pytket,cirq
100,0,4.007289886474609,4.124308109283447,0.23092079162597656,5.695073127746582,2.309049129486084
100,1,4.529162406921387,4.408735990524292,0.22772622108459473,6.223904848098755,2.5180695056915283
100,2,3.847395420074463,4.919922113418579,0.23217129707336426,5.948171377182007,2.456700086593628
100,3,4.3727803230285645,5.03820276260376,0.23854994773864746,6.1443212032318115,2.4414753913879395
100,4,4.93222713470459,4.382991552352905,0.22611045837402344,6.099494218826294,2.3819267749786377
100,5,4.954049348831177,4.358808994293213,0.5531096458435059,5.411479711532593,2.2214195728302
100,6,4.3797712326049805,4.813583612442017,0.2245938777923584,5.55026388168335,2.4784491062164307
100,7,4.603436708450317,4.438345432281494,0.2299346923828125,6.3178229331970215,2.754945993423462
100,8,4.109718322753906,4.1637797355651855,0.23212885856628418,5.699962854385376,2.9195504188537598
100,9,4.533215045928955,4.348199367523193,0.22271728515625,5.971272230148315,2.02104115486145
200,0,5.68292760848999,9.032812595367432,0.43534135818481445,10.609349012374878,3.9428303241729736
200,1,6.475118637084961,8.243074417114258,0.4293043613433838,10.082578420639038,4.560824155807495
200,2,7.609555959701538,7.579012870788574,0.42754197120666504,11.92033863067627,4.135615825653076
200,3,6.258613109588623,8.526561975479126,0.42287302017211914,11.438077449798584,4.167593717575073
200,4,5.109169960021973,9.24194073677063,0.4206423759460449,9.754995346069336,3.8633930683135986
200,5,7.063083171844482,8.402107000350952,0.4311237335205078,10.743877172470093,4.386075496673584
200,6,4.852790594100952,7.914048433303833,0.43137502670288086,10.253798723220825,3.859673023223877
200,7,5.207923173904419,7.405386447906494,0.4212310314178467,11.123026609420776,4.025441884994507
200,8,6.682121753692627,7.616054058074951,0.9285190105438232,11.265233516693115,4.673689842224121
200,9,5.874990940093994,7.902508974075317,0.4247739315032959,9.823172807693481,4.460117816925049
300,0,7.627446889877319,10.679346084594727,1.2486274242401123,14.624378204345703,5.5747668743133545
300,1,6.538401126861572,11.244352340698242,0.6131975650787354,16.956124544143677,5.17229437828064
300,2,7.159690618515015,11.700520277023315,0.6240758895874023,15.48718523979187,5.660374402999878
