file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,2268,998,1302,647
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,1952,958,1232,704
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,2131,1051,1486,726
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,1826,912,1186,638
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,1981,878,1113,577
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,1958,926,1316,703
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,2090,933,1105,551
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,1881,1101,1105,652
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,1960,919,1250,650
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,2065,1123,1144,729
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,4018,1867,2473,1328
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,3734,1847,2522,1346
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,3414,1857,2530,1359
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,3783,1756,3126,1658
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,3430,1861,2470,1222
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,3757,1929,2756,1434
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,3630,1761,2458,1304
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,3492,1818,2282,1188
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,4098,1979,2495,1158
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,3482,1731,2217,1180
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,4748,2515,3479,1843
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,5005,2746,3670,2092
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,5218,2670,3529,1971
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,5586,2804,3621,2044
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,4673,2378,3605,2001
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,4846,2406,3814,2073
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,4949,2537,3808,2055
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,5120,2552,4155,2269
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,5298,2774,3824,2087
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,5199,2376,4101,2185
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,5995,3029,4587,2452
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,6573,3618,4264,2306
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,6428,3373,5334,2763
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,6452,3140,4864,2657
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,6230,3128,4918,2613
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,7432,3771,4863,2562
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,5916,3145,4458,2490
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,7597,3491,5174,2711
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,6911,3369,5540,2851
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,5780,2850,5213,2759
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,8097,4227,6425,3248
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,7922,4099,6372,3411
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,8745,4479,6376,3356
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,8212,4427,6172,3644
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,8244,4144,6660,3524
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,7669,3971,6317,3393
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_6.json,500,9516,4730,6332,3245
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,8518,4128,5721,3102
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,8850,4212,6342,3461
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,8584,4521,6076,3160
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,10234,5278,6865,3725
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_1.json,600,8905,4582,7796,4085
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,600,10115,5164,7505,4017
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,9364,5126,7653,4038
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,8843,4393,7579,4165
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_5.json,600,8434,4350,6913,3776
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_6.json,600,10024,5044,8571,4534
../benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,8939,4513,6763,3644
