file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_3.json,99,121,99,121,39,100,19,69
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_8.json,218,116,218,116,84,83,27,63
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_3.json,128,114,128,114,50,94,19,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_6.json,99,162,99,162,40,151,27,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_7.json,568,255,568,255,216,192,172,149
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_6.json,365,188,365,188,152,153,151,128
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_8.json,216,162,216,162,109,108,60,88
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_0.json,402,182,402,182,180,133,102,105
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.2D2_6.json,168,175,168,175,86,114,38,70
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_4.json,314,163,314,163,116,95,65,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_5.json,272,152,272,152,140,140,72,82
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_8.json,356,214,356,214,133,168,87,110
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_0.json,122,154,122,154,56,110,19,65
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_8.json,122,112,122,112,25,54,17,56
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_6.json,306,192,306,192,152,141,107,120
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_5.json,500,249,500,249,200,141,131,126
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_9.json,115,168,115,168,40,117,18,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_2.json,287,206,287,206,125,145,53,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_5.json,460,218,460,218,146,120,163,120
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_7.json,342,197,342,197,142,147,95,112
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_6.json,89,108,89,108,40,96,15,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_4.json,85,112,85,112,43,97,8,51
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_9.json,176,145,176,145,80,106,45,98
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_2.json,78,114,78,114,53,127,15,64
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_2.json,439,201,439,201,189,134,121,113
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_0.json,90,159,90,159,33,98,17,86
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_4.json,167,96,167,96,139,101,76,71
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_8.json,248,129,248,129,130,124,67,83
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_8.json,363,187,363,187,145,142,94,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_8.json,316,140,316,140,120,86,92,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_6.json,217,207,217,207,63,110,29,94
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_0.json,360,165,360,165,160,134,66,74
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_0.json,151,110,151,110,75,82,55,60
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_3.json,174,155,174,155,69,110,41,97
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_5.json,127,137,127,137,54,127,19,73
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_9.json,281,155,281,155,139,168,99,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_5.json,117,176,117,176,49,172,15,82
