file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_3.json,87,114,30,80,42,83,19,58
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_8.json,251,152,102,104,62,80,33,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_3.json,137,151,44,90,47,115,17,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_6.json,90,172,36,98,40,131,24,97
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_7.json,565,287,362,229,236,158,173,155
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_6.json,410,210,244,189,157,151,111,129
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_8.json,210,146,120,102,102,132,58,107
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_0.json,420,201,253,180,207,139,113,120
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.2D2_6.json,157,113,94,118,90,127,40,57
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_4.json,216,145,135,110,125,106,69,72
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_5.json,347,190,171,122,141,135,89,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_8.json,371,270,176,175,146,147,101,124
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_0.json,108,131,33,90,58,115,19,63
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_8.json,99,88,27,74,27,71,15,51
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_6.json,334,229,198,157,125,173,112,132
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_5.json,519,240,272,160,211,167,160,145
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_9.json,108,197,32,94,47,150,16,83
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_2.json,288,220,146,141,116,146,58,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_5.json,420,230,252,180,155,137,170,157
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_7.json,305,161,204,197,175,180,106,138
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_6.json,97,110,47,75,31,90,14,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_4.json,104,116,26,96,40,97,8,51
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_9.json,169,178,71,92,74,141,50,85
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_2.json,80,117,30,68,54,129,14,70
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_2.json,509,274,293,164,271,214,165,156
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_0.json,113,184,28,107,36,126,19,82
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_4.json,194,110,125,90,122,103,88,99
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_8.json,252,146,131,124,103,106,69,76
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_8.json,370,212,314,243,167,154,123,135
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_8.json,269,149,153,109,134,95,96,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_6.json,174,179,98,141,76,148,32,99
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_0.json,373,194,264,172,163,131,76,80
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_0.json,154,104,78,84,63,86,57,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_3.json,206,191,79,88,90,176,46,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_5.json,129,155,42,99,45,108,17,56
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_9.json,272,154,223,172,165,148,99,107
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_5.json,98,140,34,107,44,111,15,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.2D2_2.json,202,132,79,86,75,86,46,65
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_6.json,299,146,178,115,140,115,100,99
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_3.json,395,248,246,168,178,178,90,138
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_3.json,91,80,20,58,47,67,12,54
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.7D1_.1D2_6.json,61,174,27,122,41,156,12,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.2D2_4.json,203,276,66,132,89,167,38,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_6.json,450,200,254,147,190,146,149,131
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_0.json,426,219,232,176,170,151,127,149
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_7.json,114,184,41,91,51,116,21,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_0.json,257,195,105,144,130,219,60,126
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_3.json,128,98,36,78,54,85,13,59
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_0.json,102,77,24,51,44,64,13,50
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_7.json,294,226,160,197,137,192,87,130
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_0.json,324,217,190,175,130,158,77,134
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_3.json,309,189,193,140,148,149,84,99
