file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_6.json,45,383,177,216,136,174,128,105,104
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_1.json,45,99,81,29,54,44,58,14,48
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_3.json,45,99,121,32,103,39,100,21,69
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_8.json,45,218,116,67,75,84,83,27,63
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_3.json,45,128,114,29,59,50,94,15,57
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_6.json,45,99,162,37,99,40,151,17,73
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_7.json,45,568,255,236,161,216,192,118,123
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_6.json,45,365,188,230,175,152,153,97,122
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_8.json,45,216,162,113,105,109,108,63,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_0.json,45,402,182,210,131,180,133,88,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.2D2_6.json,45,168,175,69,111,86,114,33,63
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_4.json,45,314,163,108,85,116,95,65,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_5.json,45,272,152,165,118,140,140,72,86
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_8.json,45,356,214,171,169,133,168,70,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_0.json,45,122,154,36,89,56,110,19,65
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_8.json,45,122,112,21,69,25,54,14,50
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_6.json,45,306,192,169,126,152,141,85,110
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_5.json,45,500,249,228,159,200,141,97,108
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_9.json,45,115,168,26,129,40,117,14,72
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_2.json,45,287,206,105,121,125,145,92,157
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_5.json,45,460,218,206,134,146,120,115,108
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_7.json,45,342,197,169,157,142,147,96,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_6.json,45,89,108,32,105,40,96,16,79
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_4.json,45,85,112,23,70,43,97,17,68
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_9.json,45,176,145,72,87,80,106,30,73
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_2.json,45,78,114,27,86,53,127,11,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_2.json,45,439,201,231,134,189,134,164,123
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_0.json,45,90,159,32,104,33,98,12,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_4.json,45,167,96,128,91,139,101,68,68
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_8.json,45,248,129,125,117,130,124,66,72
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_8.json,45,363,187,196,139,145,142,92,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_8.json,45,316,140,137,116,120,86,94,98
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_6.json,45,217,207,70,116,63,110,32,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_0.json,45,360,165,196,133,160,134,92,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_0.json,45,151,110,99,109,75,82,50,82
