file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,500,2684,2444,2224,2211,1272,1789,1165,1865
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,500,2622,2392,2078,1984,1177,1815,1080,1705
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_0.json,600,3144,2805,2411,2546,1448,2052,1314,2077
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_1.json,600,2813,2521,2421,2456,1407,2034,1307,1963
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,600,2892,2677,2662,2733,1454,2063,1440,2118
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_3.json,600,2859,2896,2553,2548,1516,2201,1327,2127
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_4.json,600,3021,2769,2498,2510,1451,2185,1270,2021
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_5.json,600,2832,2820,2584,2694,1324,2089,1244,2020
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,600,2547,2608,2340,2514,1439,2191,1298,1928
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_7.json,600,2908,2662,2616,2529,1445,2074,1334,1991
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_8.json,600,3043,2865,2505,2390,1542,2110,1266,1985
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_9.json,600,3214,2665,2483,2550,1593,2280,1427,2166
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,3225,3144,2910,2797,1654,2420,1429,2329
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_1.json,700,3334,3057,2653,2968,1785,2517,1423,2333
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,700,3055,3098,2786,2749,1652,2334,1578,2455
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,700,3348,3024,3025,2896,1598,2336,1592,2598
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_4.json,700,3518,3261,2697,2657,1538,2332,1674,2539
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,3489,3137,2714,2736,1649,2553,1426,2377
