file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_8.json,600,3118,3111,2461,2889
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_9.json,600,2698,2860,2679,2931
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,3150,3248,2932,3199
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_1.json,700,3471,3616,2843,3044
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,700,2987,3182,2602,3134
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,700,3153,3370,2895,3216
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_4.json,700,2898,3049,2601,3112
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,2913,3159,2548,2971
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,700,3542,3441,2781,2998
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,700,3225,3407,2956,3403
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_8.json,700,3200,3453,2810,3089
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,700,2926,3143,2898,3314
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,800,3201,3499,3237,3637
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_1.json,800,3295,3687,3662,3819
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,3351,3560,2716,3349
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_3.json,800,3750,3907,3637,3900
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_4.json,800,3342,3720,3022,3427
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_5.json,800,3300,3508,3181,3699
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,3427,3776,2975,3393
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_7.json,800,3745,3971,2896,3368
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,800,3730,3985,3232,3585
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_9.json,800,3944,4133,3200,3603
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_0.json,900,3807,4008,3957,4248
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_1.json,900,3860,4201,3647,4034
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_2.json,900,3965,4277,3971,4340
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_3.json,900,3801,4179,3929,4470
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_4.json,900,4146,4266,3501,4036
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,900,3479,3949,3789,4154
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,900,3636,4133,3512,3976
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_7.json,900,3989,4291,3940,4174
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_8.json,900,3880,4136,3865,4304
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_9.json,900,4270,4582,3613,4205
