file_path,decay,more_executed,closure,sabre_swap_count
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_6.json,965,954,960,1226
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,835,759,729,740
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,292,340,228,278
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,679,599,580,590
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_5.json,745,767,716,798
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,235,218,217,218
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,632,735,551,576
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,529,550,504,548
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,433,447,412,413
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_3.json,1233,1293,1147,1244
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_0.json,1210,1164,1060,1216
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_3.json,1142,1034,1007,1048
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_4.json,1544,1449,1434,1496
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,409,404,374,389
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,485,475,390,483
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_8.json,1614,1639,1535,1613
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_7.json,1592,1572,1574,1615
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_8.json,899,940,833,909
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_9.json,1237,1257,1224,1307
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_5.json,1154,1122,1114,1071
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_5.json,947,928,872,1137
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,201,198,198,227
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_9.json,1220,1266,1018,1142
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_7.json,1222,1201,1205,1092
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,593,596,565,654
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_8.json,1252,1268,1192,1275
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_7.json,1346,948,923,908
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_2.json,1424,1363,1345,1397
