file_path,closure_swaps,closure_depth,initial_mapping_method
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,2758,2112,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,1679,2076,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,1694,2296,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,1712,1824,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,2451,2388,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,1496,1582,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,2759,2240,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_1.json,363,1172,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_1.json,3343,2870,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,884,790,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,1332,1047,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,423,1041,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,1355,1515,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,1222,1782,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,1951,1931,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,1007,859,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,2153,1598,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,1874,2513,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,5195,3744,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,840,876,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,2020,1172,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,1525,2191,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,3922,3073,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,1296,2347,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,4222,3203,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,223,617,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,1733,1102,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,1739,2400,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,4017,3476,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,2108,1560,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,2471,1623,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,2634,2954,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,4550,3621,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,1862,2196,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,3260,2138,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,1114,1267,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,2347,1952,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,1838,2527,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,3077,2785,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,524,1402,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,3783,2801,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_1.json,2533,2972,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_1.json,3620,3815,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,1117,2073,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,3855,2909,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,639,857,SABRE_INIT
